from,to
0,9206
0,7787
0,2145
0,2684
0,7275
0,2498
0,5358
1,5506
1,1753
1,4361
1,2984
1,8978
1,2900
1,9151
1,3193
1,6160
1,8209
1,5682
1,4992
1,7668
1,2058
1,3164
1,2560
1,6009
1,8040
1,8873
1,1578
1,116
1,4611
1,3247
1,9407
1,3776
1,9206
1,7787
1,4575
1,4248
1,7482
1,3996
1,2152
1,7593
2,1638
2,7720
2,421
2,1276
2,7496
2,7278
2,8366
2,2794
2,3363
2,7787
2,9080
2,5822
2,2980
2,3722
2,8287
2,8803
2,6535
2,2816
2,6480
3,6522
3,8608
4,1638
4,893
4,654
4,7685
4,4042
4,2498
4,2145
4,4313
4,7787
4,3384
4,460
4,7216
4,4927
7804,1901
7804,1638
7804,8747
7804,1355
7804,7787
7804,4461
7804,3633
7804,1150
7804,6164
7804,3177
7804,30
7804,798
7804,5458
7804,6119
7804,2816
7804,8334
6,9206
6,3828
6,7958
6,2684
6,8554
6,343
6,1550
7,570
8,8996
8,4038
8,8810
8,6522
8,1638
8,7787
8,9056
8,7125
8,6832
8,7296
8,342
8,4213
8,2998
8,3374
9,7787
9,5798
9,7565
9,130
10,6911
10,1354
10,2914
10,5351
10,9236
10,5759
10,8976
10,527
10,7281
9270,7720
9270,1354
9270,7913
9270,1283
9270,4590
9270,225
9270,2732
9270,2980
9270,82
9270,9029
9270,4300
9270,5058
9270,5846
9270,2364
9270,1625
9270,7968
9270,4530
9270,1184
9270,3421
9270,4313
9270,255
9270,3641
9270,4139
9270,8803
9270,6174
9270,1276
9270,2295
9270,9048
11,5379
11,4484
11,7516
11,5477
11,2549
11,2867
11,798
11,6540
11,3901
11,4408
11,510
11,8448
11,4847
11,7996
11,2268
11,2347
11,1101
11,3055
11,3555
11,9349
11,1402
11,5266
11,8252
11,674
11,4722
11,3221
11,3859
11,4500
11,6535
11,3634
11,1185
11,8798
11,3073
11,3534
11,2076
11,8801
11,7091
11,3430
11,6176
11,1629
11,326
11,5805
11,3999
11,850
11,7729
11,1211
11,6108
11,6204
11,2234
11,477
11,8421
11,5264
11,3163
11,4375
11,480
11,1926
11,7756
11,9158
11,6175
11,4818
11,9398
11,8630
11,933
11,3321
11,3741
11,5834
11,2973
11,1453
11,493
11,5976
11,8753
11,2957
11,2930
11,6190
11,5208
11,7127
11,5589
11,8123
11,5763
11,6191
12,395
13,5743
13,4457
13,2914
13,7092
13,397
13,4201
13,3603
13,7087
13,8099
13,1433
13,8750
13,4099
13,4993
13,1286
13,1291
3092,1901
3092,4034
3092,5358
3092,9037
3092,1792
3092,1320
3092,7685
3092,3872
3092,5907
3092,1638
3092,748
3092,1988
3092,7055
3092,7286
3092,2381
3092,5057
3092,8287
3092,3178
3092,4377
3092,2998
3092,6154
3092,755
3092,4530
3092,6047
3092,5565
3092,64
3092,9423
3092,5033
3092,9206
3092,7787
3092,5846
3092,6652
3092,5408
3092,5893
3092,5181
16,3722
16,721
16,7278
16,2481
16,4042
16,3126
16,8803
16,7216
16,5846
16,2998
16,5849
16,7849
16,2636
16,898
16,7011
16,8386
16,7787
16,4315
16,6652
16,4068
16,1276
16,8769
16,9048
16,1638
16,7047
16,2019
16,5904
16,7733
16,4957
16,5667
16,3336
16,4348
16,3520
16,2092
16,7968
16,128
16,3378
16,3751
16,2533
16,6905
16,4823
16,5974
16,4320
16,4899
16,9481
16,2816
16,4253
16,3115
18,5918
18,343
19,209
19,6357
19,7820
19,2169
19,6522
19,7561
19,9390
19,8725
19,8611
19,8273
19,2420
20,4473
20,6152
20,2878
21,293
21,3326
21,738
21,5467
21,4038
21,5781
21,4918
21,3900
21,744
21,1027
21,1713
21,3617
21,154
21,7585
21,1538
21,7301
21,2353
21,2356
21,2202
21,7617
21,2464
21,1771
21,9335
21,4501
21,2048
21,8538
21,4788
21,2209
21,2121
21,3494
21,5494
21,3215
21,3793
21,6652
21,2366
21,3080
21,5358
21,3223
21,4220
21,2516
21,1061
21,9058
21,1638
21,9163
21,3367
21,2839
21,4811
21,7844
21,4348
21,5667
21,7039
21,8301
21,608
21,7235
21,1072
21,7968
21,2666
21,7493
21,4336
21,2533
21,5527
21,3822
21,5382
21,9080
21,8924
21,355
21,2813
21,5686
21,6250
21,2816
21,8723
21,7150
21,657
21,5253
21,82
21,1703
21,7840
21,7077
21,2929
21,8782
21,3734
21,4720
21,821
21,3711
21,4721
21,523
21,5854
21,430
21,7853
21,7998
21,2946
21,7707
21,2851
21,7317
21,8632
21,8803
21,7011
21,3292
21,1276
21,5723
21,9137
21,5613
21,9142
21,5573
21,7727
21,9223
21,854
21,3894
21,2733
21,8197
21,9241
21,4722
21,3589
21,1876
21,4452
21,6863
21,3751
21,7496
21,7229
21,2753
21,5893
21,2033
21,7649
21,6366
21,2107
21,5712
21,5884
21,7127
21,6931
21,8493
21,5568
21,5898
21,7130
21,6835
21,8558
21,6690
6167,8753
6167,7787
6167,2145
6167,4548
6167,6418
6167,2914
6167,9206
6167,4004
6167,5421
6167,5358
6167,7524
23,3061
23,7359
23,721
23,2277
23,2899
23,877
23,5421
23,48
23,8299
23,4591
23,8262
23,2349
23,8143
23,8872
24,8425
24,7820
24,7666
24,3032
24,4042
24,3173
24,4008
24,4312
24,8753
24,7787
24,2145
24,4248
24,8803
